"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Likes,Shares,Comments,Saves,Impressions,Reach,Follows,Plays
17967503945678846,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Welcome to FIU's No.1 dog walking and social club! 

What we offer: 
1. Weekly social walks (All are welcome- with or without a dog!) 
2. Mingling with like-minded people! 
3. Gorgeous pups!
4. Fantastic casual exercise!
5. Exploring new places! 

We want to make this an epic club, so if you feel or want to contribute, DM!:)

#DogsofInstagram #PuppyLove #DogsOfIG #DogLovers #InstaDog
#DogLife #DogFriendly #Doggo #Pawfect #WoofWoof #Miami #FIU #floridainternationaluniversity #dogwalking",0,"01/29/2024 16:00",https://www.instagram.com/p/C2tBjt4sTKl/,"IG image",,Lifetime,11,1,2,0,215,197,,
18047227573624959,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Hey everyone, meet Lady Bug!  A 4 year old chocolate Labrador who has been supporting our club from the start with her brilliant and kind mother @salty.sarah.13 

This lady gets around… 
Lady has swam in both the FIU fountain and the Kissing bridge Lake! 🌊

Aligned with her mums career goals of becoming a marine biologist, Lady also loves 
her hammerhead shark toy named sharky! 

Big love to them both!",0,"03/30/2024 07:00",https://www.instagram.com/p/C5JBXtlO5Is/,"IG carousel",,Lifetime,66,1,7,0,398,290,,
17842747491194058,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Hop into springtime by stretching your legs, breathing some fresh air, having a laugh and letting your dog make some friends! 🐣

RSVP in bio:) 📝

You don’t need a dog to come along and make some friends! We have plenty of folks that are dog-less and just want to meet high quality people! 

We ❤️ you all",0,"03/29/2024 06:00",https://www.instagram.com/p/C5GVzZyOwlo/,"IG image",,Lifetime,18,4,2,0,269,211,,
17911276922833400,17841460065533492,healthyhearts.fiu,,"Healthy Hearts is so excited to collaborate with @fiucaninecrew on an upcoming puppy walk! 🦮 Get your heart pumping by bringing your dog for a walk around FIU’s MMC campus. 🫀Dog or not, everyone is welcome to participate. Make sure to bring plenty of water  and sunscreen. Cant wait to see you and your pups there! ☀️

*RSVP through Canine Crew’s link in bio!!",0,"03/28/2024 08:06",https://www.instagram.com/p/C5D_a3IugPF/,"IG image",,Lifetime,43,6,3,0,,,,
17893418870993311,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Golden hour sun-rays hit different!! 

Hannah and Paco are a fun loving, chill, and outgoing duo! 

Bring yourself and friends on their exclusive sunset cruise as they soak in the warm light and relaxing atmosphere 🌅

RSVP in the bio:) 
@hshrigz 

Share with your friends! 
Fill out the links in the bio to tell us the best times you can walk! 

We ❤️ u 

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"03/26/2024 14:43",https://www.instagram.com/p/C4_jOiiOc_e/,"IG image",,Lifetime,32,2,1,0,712,569,,
18023539082306459,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We’re on a mission to further spread the joy of wagging tails and happy humans, but we need YOUR help to grow our pack. 📈

If you are fun, casual, love to learn, and enjoy rewarding experiences, we have a position for you!!!

Swipe right for more info and let’s unleash the fun together!! 

We love you guys! ❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"03/26/2024 06:00",https://www.instagram.com/p/C4-naP3O_hZ/,"IG carousel",,Lifetime,48,4,1,6,736,397,,
18078880273414269,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","A beautiful Sunday morning well spent making new friends, sharing laughs, and playing with amazing dogs! 
That’s just a typical @fiucaninecrew walk for us! 

NEXT WALKS: 
Thurs March 28th 5-7pm with @hshrigz at PG6 Halfmoon cafe.

Sunday March 31st 10am-Midday with @noah.pilkington (Same location) 

TO DO: 
1. RSVP in the bio:) 
2. Fill out the “Best Time” form so we can lead more walks that suit your schedule! 
3. Spread the joy by sharing our reel:) 

Grateful for you all!",32,"03/25/2024 14:02",https://www.instagram.com/reel/C483u7MuMvk/,"IG reel",,Lifetime,48,9,10,2,1505,1185,2,1823
18261361957235514,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","YOU GUYS ALREADY KNOW WHATS UP! 

In celebration of National puppy day let’s go for our casual cruise meeting some new and exciting friends! Not to mention the amazing and adorable dogs! 

Give your furry friend what they deserve! An active and thriving social life! They absolutely love it! 

RSVP in the bio:) 

Love you all!

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily  #dogs #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #financialfreedomstartshere #positivemindset",0,"03/23/2024 08:50",https://www.instagram.com/p/C43Mei1OXP5/,"IG image",,Lifetime,32,6,2,2,329,276,,
18000008351288441,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Shamrockin and rolling with our St Paddy lucky charms last week was so much fun, relaxing, and enjoyable meeting friends! ☘️

Next walk: Sunday 10 am PG6 Halfmoon cafe! 

We can’t wait to see our regulars and all the new supporters! The excitement is infectious! 

Dog or no dog, come along and meet some amazing people! 🐕

Your puppy will love you so much for the essential socialising you will give them:) 🐶❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",27,"03/22/2024 11:52",https://www.instagram.com/reel/C406iUrO54R/,"IG reel",,Lifetime,27,2,1,0,745,561,2,949
18390054112072276,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We are all about promoting positivity so together let’s give love to your favourite puppy! 

Be bodacious, be bold, be brave! 
We love and appreciate you all! 

We have so many cool and unique events coming up soon! 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship  #freedom #financialfreedomstartshere #selfhelptools",0,"03/20/2024 19:26",https://www.instagram.com/p/C4wm3FUupyo/,"IG carousel",,Lifetime,30,0,1,0,350,255,,
17879951168981382,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Our St Paddy’s day walk was so relaxing and intimate! Everyone built deeper connections with such awesome people and doggies. 

Thank you for coming along and see you next Sunday at 10 am! 
Shoutout to @hshrigz for leading! 
Shoutout to @julioaosorio14 for the pic!

We will be announcing new walks on more days very soon! 

Thank you for bringing your best self! 

Comment below to get tagged:)

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship  #freedom #financialfreedomstartshere #selfhelptools",0,"03/18/2024 14:28",https://www.instagram.com/p/C4q7Lx2OOb9/,"IG image",,Lifetime,50,1,8,1,581,451,1,
18051741136605366,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","ST PADDY’S DAY WALK THIS SUNDAY! ☘️

Roll up roll up for our 5th walk! 

Wear green to get into the lucky spirit of St Patrick’s day and attract your own pot of gold!

Come along, meet your new best friends, give your dog their best life, and have a blast whilst getting fit! 💪 🐩 

Dog or no dog, you are so welcome!

RSVP in the bio:) 

P.S. 
We are lucky enough to have a real Irish American run this weeks walk! Thank you! @hshrigz 🇮🇪☘️",0,"03/15/2024 11:30",https://www.instagram.com/p/C4i4Vpnu93v/,"IG image",,Lifetime,22,1,3,0,851,605,,
18043581238655337,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Successful 4th walk with the @fiucaninecrew gang! 

So much love to all the new faces and to those who keep showing up every week supporting the club! High quality people and pups is what makes our club so special. 🐶

Here’s to many more and to even more good times 💪🏽

Be sure to tag yourself below:) 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",0,"03/13/2024 14:13",https://www.instagram.com/p/C4eBd81OmD6/,"IG image",,Lifetime,50,3,4,1,468,363,2,
17900508092953636,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","NEW WALK ANNOUNCED!

Here we go again, see you there Sunday 10am at FIU MMC PG-6 Cafe! 

Dog or no dog = you are welcome :)
FIU student or not = you are welcome :)

RSVP IN THE BIO! 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",0,"03/07/2024 11:16",https://www.instagram.com/p/C4OXQLCOQ0h/,"IG image",,Lifetime,32,6,2,1,388,298,,
18043313386644732,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Some photo highlights from our latest @fiucaninecrew walks! 

Tag your fellow dog enthusiasts, and let’s spread the joy of dog walking together! 🫶🏽

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #puppy",0,"03/06/2024 12:05",https://www.instagram.com/p/C4L4HH8Oe3D/,"IG carousel",,Lifetime,47,1,3,0,466,320,,
17953088459639478,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Great people, great pups - thankful for everyone who came along! 

Our walk’s aren’t just about exercise; they’re about making connections, creating friendships and memories for both you and your pup! 🐶

Don’t miss out on the fun, stay tuned for our next walk on the @fiucaninecrew page 😁

Share to your story to help the page grow:)

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #puppies #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",0,"03/05/2024 10:06",https://www.instagram.com/p/C4JFtrSO7rX/,"IG carousel",,Lifetime,60,9,0,1,607,418,2,
17963704868710003,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","3rd walk success with our @fiucaninecrew gang! 💪🏽
A huge shoutout to all the pups and peeps who came! 

Anticipation and DMs are already building for our next adventure. 

Keep those eyes peeled on the @fiucaninecrew page for upcoming details on the date/time for our next walk! 🐶 

Comment below incase we didn’t tag you:)
Share to your story! 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",19,"03/04/2024 14:12",https://www.instagram.com/reel/C4G8y9YOZ4M/,"IG reel",,Lifetime,81,18,9,1,2468,1855,5,3229
18020141372104280,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","So much love for everyone who has joined the club so far! It’s people like this that make our club so great. 

We are so thankful for you all! 🫶🏽

Your canine companion deserves the best, and our community is the place to be! 🐶 

We welcome all people, student or not, dog or no dog, all are welcome so come along to our next walk this Sunday 10am FIU MMC PG-6 CAFE ! 

Comment below so I can tag you:) 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",0,"03/01/2024 09:35",https://www.instagram.com/p/C3-u7UWxnvJ/,"IG image",,Lifetime,37,8,0,0,500,366,,
18218260030275235,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","NEXT WALK ANNOUNCED! 
Sunday 10am FIU MMC PG-6 CAFE! 

@fiucaninecrew next adventure awaits- leash up, wag on and let the good time begin! 

Dog or no dog = you are welcome:) 
FIU student or not = you are welcome:)

RSVP IN THE BIO! 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",0,"02/29/2024 05:00",https://www.instagram.com/p/C37qv1Kr7Ti/,"IG image",,Lifetime,18,4,5,0,334,252,,
17858187963103674,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Wagging tails, happy hearts, and endless smiles- the @fiucaninecrew really know how to reel in the good times! 😁
Interested in coming to our next walk? 

Follow our page @fiucaninecrew to get updated with the date/ time for our next walk! 

Thanks for everyone who came, so happy to see such a great turn out and everyone having a good time 😊
I know I’ve forgotten to tag everyone, so comment below and I can add you on:) 

#fiu #fiucaninecrew #walkdogwalk #social #pup #doglover #healthylifestyle #socialgroup #fiuuniversity #dogwalker #caninecrew #doginstagram #dogsofinstagram #social #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #doglovers #exerciseroutine #miamievents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness",19,"02/27/2024 10:05",https://www.instagram.com/reel/C33Dy_pRU_1/,"IG reel",,Lifetime,101,30,15,2,2502,1787,12,3138
18000724136229667,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","It’s almost that time of the week!!! 
WALK 2! SUNDAY 10 AM!! 
Same place! 
Even better vibes! 
Even more fun! 

RSVP in the bio! 

All are welcome:) 

#miami #activelifestyle #dogs #fiucaninecrew #social #miamiclubs #miamiactivities #university #socialclub #socialcommunity #community #family #love #canines #woof #puppy #pupstagram #activitiesnearme #sweetwaterfl #florida #homesteadfl #floridagirl #floridalife #livinglife",0,"02/22/2024 19:06",https://www.instagram.com/p/C3rJ7VeN8vw/,"IG carousel",,Lifetime,29,5,3,3,855,567,5,
18010150085250492,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","First walk success! ✔️ Thanks to everyone who came and for making the walk a tail-wagging adventure. 

Our next walk will be same place/ time SUNDAY 10AM PG6 CAFE so come along and meet new pups and people!
RSVP form in bio:) 

Follow our page @fiucaninecrew to stay up to date with future walks 🐶 

#fiucaninecrew #dogwalk #doginstagram #socialgroup #fiu #dogsofinsta #dogsdaily #floridainternationalunivesity #puppiesofinstagram #doglover #communityfirst #activelife #social #exercise #socialimpact #dogs #miami #activelife #miamisocial #social #puppylove #puppy #doggroomer",0,"02/21/2024 11:35",https://www.instagram.com/p/C3nxfiwRcga/,"IG image",,Lifetime,61,9,5,1,840,599,5,
17862931596052277,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","FIRST SOCIAL DOG WALK ✅ 
What a brilliant turn out!
Thank you so much to the amazing people and pups who came along 🐶 

Date and Time for @fiucaninecrew walk 2 coming soon :) 
Stay posted for more info 😉 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #businesslife #freedom #financialfreedomstartshere #selfhelptools",15,"02/18/2024 14:59",https://www.instagram.com/reel/C3gYXufpjju/,"IG reel",,Lifetime,66,14,5,2,2955,1895,5,3295
18026918329911403,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","AFTER MANY MESSAGES, WE HAVE A DATE & TIME! 
[Time change to 10am] 
1. ALL ARE WELCOME (dogs or no dogs!) 
2. RSVP BY DM. 
3. CROSS YOUR FINGERS THAT THE WEATHER STAYS BEAUTIFUL.

Thanks for all the support everyone! I am as excited as you are!:)",0,"02/12/2024 18:51",https://www.instagram.com/p/C3RYUJvNzlM/,"IG image",,Lifetime,20,21,1,0,550,404,2,
17866116192077165,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","WE NEED MORE DOGS!!! 🐶🐕🦮
Do you know a friend that has a dog? Invite them for our upcoming first walk!",0,"02/07/2024 16:09",https://www.instagram.com/p/C3ENvjVxlA0/,"IG image",,Lifetime,25,15,3,0,707,490,3,
17944221518775638,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","SO MANY BENEFITS OF JOINING!
@noah.pilkington 

#MiamiLife #305Vibes #MiamiHeat #SouthBeach #CalleOcho #MIA #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #FurBaby #WoofWednesday #PuppyLove #DoggyAdventures
#SunshineState #LoveFL #FloridaLife #Floridian 
#FIUPanthers #FIUAlumni #FIUResearch #fiu",152,"02/03/2024 08:03",https://www.instagram.com/reel/C25CuLogoWy/,"IG reel",,Lifetime,18,6,1,1,576,406,,1022
18414772840000745,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Thanks for the support, messages, and love! 
Let’s make this club into something amazing for all! 

Ways to help: 
1. Share one of the posts on your story and send it to close friends.

2. Volunteer! 
- If you have a certain skill, such as: 
Social Media management, photography, organisation, event planning, etc, 
let me know! 

The more people that join, the more fun we can have!",0,"02/02/2024 14:47",https://www.instagram.com/p/C23MbhEAFTh/,"IG image",,Lifetime,8,0,1,0,355,291,,
